time,temp,density,press,mu,ion_count,water_count

1000,40.53983691225617747,0.1809307422611891869,15575819.496239688247,-8,5,25
1100,43.416682601429343435,0.18221641617258726997,15575845.830019820482,-8,5,27
1200,47.736373032412949158,0.18285925312828626987,15575747.589566955343,-8,5,28
